Summary,Issue Type,Description,Time Estimate
Re-style Icon Components,Task,Refactor and update all UI icons across the app to follow the new design guideline.,2h
Remove Extra Padding in UI,Task,Identify and remove unnecessary padding in pages/components for cleaner layout.,1h
Unify Table Style (Like Client Table),Task,Apply consistent table design to all tables across the platform based on the client table structure.,3h
Add Dropdown After Creating New Client,Task,Show dropdown with available forms immediately after creating a new client.,2h
Continue to Form After Subscription Activation,Task,Add logic to redirect to the form assignment after client subscription becomes active.,3h
Plan Update Flow for Active Plans,Task,"If a plan is active, display only one button 'Update Plan'. Confirm with user if they want to reset duration or just edit.",3h
Buttons for Inactive Plans,Task,Show 'Save Only' and 'Activate' options. Handle conditional logic based on plan state.,4h
Add Plan Type Column to Forms,Task,"Add a new column to the forms table to indicate the plan type (workout, diet plan).",2h
Multilingual Support for Form Fields,Task,Add Arabic and English fields for each form entry.,3h
Enable Form Submission from Form Template,Task,Allow forms to be created and submitted directly from templates in the form page.,4h
Add Fixed Questions to All Forms,Task,"Include standard physical metrics (e.g., weight, height, chest, waist, etc.) in all forms.",4h
Update Food Item Table in Obsidian,Task,Add new parameters to food item schema and reflect them in the table display.,3h
Remove Auto-Assign Logic in Form Submission,Task,Replace current auto-assign behavior with manual assignment on plan activation.,4h
Assign Form on Diet Plan Creation with Duration,Task,"When creating a new diet plan, link an appropriate form and assign a duration.",3h
Handle Form Structure & Assignment Logic,Task,Refactor form assignment system to support dynamic form structures and enforce duration logic in diet plans.,5h
